,ID,project,lab,composite,dataType,view,cell,treatment,antibody,control,dataVersion,dccAccession,controlId,quality,tableName,type,md5sum,size
653,wgEncodeAwgTfbsUwGm12873CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM12873,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000450,wgEncodeEH000460,good,wgEncodeAwgTfbsUwGm12873CtcfUniPk,narrowPeak,619586d84dd6503321ab8e449fa400c3,1005K
654,wgEncodeAwgTfbsUwGm12874CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM12874,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000451,wgEncodeEH000461,good,wgEncodeAwgTfbsUwGm12874CtcfUniPk,narrowPeak,6de90496088fd11833e4b3a0613370f5,711K
655,wgEncodeAwgTfbsUwGm12875CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM12875,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000452,wgEncodeEH000462,good,wgEncodeAwgTfbsUwGm12875CtcfUniPk,narrowPeak,3fba6b32be752fd91508c152e16d5d66,824K
656,wgEncodeAwgTfbsUwGm12878CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,GM12878,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000394,wgEncodeEH000463,good,wgEncodeAwgTfbsUwGm12878CtcfUniPk,narrowPeak,9ac0caedb657bef93eb7a34c69375e50,807K
657,wgEncodeAwgTfbsUwHacCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HAc,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH001893,wgEncodeEH002165,good,wgEncodeAwgTfbsUwHacCtcfUniPk,narrowPeak,d2bf0b5df8104a1472207e04dae05e92,1018K
658,wgEncodeAwgTfbsUwHaspCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HA-sp,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000989,wgEncodeEH000974,good,wgEncodeAwgTfbsUwHaspCtcfUniPk,narrowPeak,af96346f175c0def4d6a85119e337c96,964K
659,wgEncodeAwgTfbsUwHbmecCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HBMEC,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000981,wgEncodeEH000940,good,wgEncodeAwgTfbsUwHbmecCtcfUniPk,narrowPeak,8cd776aab533865a47e1d8d9902faa07,1.2M
660,wgEncodeAwgTfbsUwHcfaaCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HCFaa,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000982,wgEncodeEH000944,good,wgEncodeAwgTfbsUwHcfaaCtcfUniPk,narrowPeak,f3c675fcf14976b689b720a0c790201c,789K
661,wgEncodeAwgTfbsUwHcmCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HCM,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH001894,wgEncodeEH000946,good,wgEncodeAwgTfbsUwHcmCtcfUniPk,narrowPeak,c8cb8cfaaf2eceafa14a74c93c7ccfe0,986K
662,wgEncodeAwgTfbsUwHcpeCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HCPEpiC,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000983,wgEncodeEH000948,good,wgEncodeAwgTfbsUwHcpeCtcfUniPk,narrowPeak,4e3f317377f685033b34454a207d0660,1.2M
663,wgEncodeAwgTfbsUwHct116CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HCT-116,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH002055,wgEncodeEH000950,good,wgEncodeAwgTfbsUwHct116CtcfUniPk,narrowPeak,5353919b8dec58898d42391ed013ed3b,1006K
664,wgEncodeAwgTfbsUwHeeCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HEEpiC,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000984,wgEncodeEH000952,good,wgEncodeAwgTfbsUwHeeCtcfUniPk,narrowPeak,d42b3453cc61f009d66daad361f71452,949K
665,wgEncodeAwgTfbsUwHek293CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HEK293,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000396,wgEncodeEH000464,good,wgEncodeAwgTfbsUwHek293CtcfUniPk,narrowPeak,85054a5025553ab029c7eb16c94dcbc4,1.1M
666,wgEncodeAwgTfbsUwHelas3CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HeLa-S3,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000398,wgEncodeEH000469,good,wgEncodeAwgTfbsUwHelas3CtcfUniPk,narrowPeak,4c59204089b2f11327ccd38d6816d532,724K
667,wgEncodeAwgTfbsUwHepg2CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HepG2,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000401,wgEncodeEH000470,good,wgEncodeAwgTfbsUwHepg2CtcfUniPk,narrowPeak,3fdf2bfeeb9bf469510d615efec560ae,905K
668,wgEncodeAwgTfbsUwHffCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HFF,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH002547,wgEncodeEH002043,good,wgEncodeAwgTfbsUwHffCtcfUniPk,narrowPeak,76988280676da733c00a245afa4eba60,665K
669,wgEncodeAwgTfbsUwHffmycCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HFF-Myc,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH001895,wgEncodeEH001896,good,wgEncodeAwgTfbsUwHffmycCtcfUniPk,narrowPeak,2762b1415d57a6f7e9dc651d7c117340,887K
670,wgEncodeAwgTfbsUwHl60CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HL-60,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000397,wgEncodeEH000465,caution,wgEncodeAwgTfbsUwHl60CtcfUniPk,narrowPeak,eef68584ff8dcb0b52c12fd8c667c179,367K
671,wgEncodeAwgTfbsUwHmecCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HMEC,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000419,wgEncodeEH000466,good,wgEncodeAwgTfbsUwHmecCtcfUniPk,narrowPeak,ac4ed4cab8826219ccf1d2e5438bcb06,1.1M
672,wgEncodeAwgTfbsUwHmfCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HMF,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000985,wgEncodeEH000956,good,wgEncodeAwgTfbsUwHmfCtcfUniPk,narrowPeak,5587acb9938999f2fb9b52f709aab47b,1.1M
673,wgEncodeAwgTfbsUwHpafCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HPAF,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000986,wgEncodeEH000958,good,wgEncodeAwgTfbsUwHpafCtcfUniPk,narrowPeak,7c1f759f880355afdb463e62fb746496,1.3M
674,wgEncodeAwgTfbsUwHpfCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HPF,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000987,wgEncodeEH000960,good,wgEncodeAwgTfbsUwHpfCtcfUniPk,narrowPeak,af8bed120515fa75d115fc25bfb0be23,1.0M
675,wgEncodeAwgTfbsUwHreCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HRE,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000405,wgEncodeEH000467,good,wgEncodeAwgTfbsUwHreCtcfUniPk,narrowPeak,a5945bf2825f85bbbbb23283b343fcaa,808K
676,wgEncodeAwgTfbsUwHrpeCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HRPEpiC,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000988,wgEncodeEH000962,good,wgEncodeAwgTfbsUwHrpeCtcfUniPk,narrowPeak,ae569b1d439679d752eb0c58de423a89,1.2M
677,wgEncodeAwgTfbsUwHuvecCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HUVEC,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000410,wgEncodeEH000468,good,wgEncodeAwgTfbsUwHuvecCtcfUniPk,narrowPeak,825cd2ae4dfd05d46fe48ada8d867b6f,729K
678,wgEncodeAwgTfbsUwHvmfCtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,HVMF,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH002056,wgEncodeEH000964,good,wgEncodeAwgTfbsUwHvmfCtcfUniPk,narrowPeak,59fcc576cbadcd3776b8a0a3cf26867c,891K
679,wgEncodeAwgTfbsUwK562CtcfUniPk,wgEncode,UW,wgEncodeAwgTfbsUniform,ChipSeq,Peaks,K562,None,CTCF,std,ENCODEMar2012Freeze,wgEncodeEH000399,wgEncodeEH000471,good,wgEncodeAwgTfbsUwK562CtcfUniPk,narrowPeak,365af2fdea48c046dafad14b73f69b5d,850K
